,compound_id,cell_id,active,prediccion
0,561,491,-1,-1
1,594,5673,-1,-1
2,853,377,-1,-1
3,1114,704,-1,-1
4,1114,5737,-1,0
5,1114,5673,-1,0
6,1114,5544,-1,0
7,4504,5545,-1,-1
8,4794,491,-1,-1
9,4801,491,-1,-1
10,6968,141,-1,-1
11,7427,693,-1,0
12,7427,5738,-1,-1
13,8682,455,-1,-1
14,9097,39,1,-1
15,12835,655,-1,-1
16,14882,5673,-1,-1
17,18784,786,-1,-1
18,18784,646,-1,-1
19,18784,555,-1,-1
20,18784,408,-1,-1
21,27287,5673,-1,-1
22,28853,639,-1,-1
23,28853,468,-1,0
24,28853,754,-1,-1
25,28853,726,1,0
26,28853,786,-1,0
27,28853,594,-1,0
28,34949,5673,-1,-1
29,36532,635,-1,0
30,36533,635,-1,0
31,36769,635,-1,1
32,47620,701,-1,0
33,48191,594,-1,0
34,48572,1015,-1,1
35,48737,574,-1,1
36,54241,691,-1,0
37,61315,693,-1,-1
38,61315,5604,-1,-1
39,61315,330,-1,1
40,65494,394,-1,-1
41,65494,496,-1,-1
42,66507,5673,-1,-1
43,67788,491,-1,1
44,71871,5593,-1,-1
45,73219,5720,-1,-1
46,78759,5644,-1,-1
47,78759,5678,-1,-1
48,78759,5673,-1,0
49,85791,537,-1,-1
50,85791,555,-1,-1
51,85791,649,-1,-1
52,85791,635,-1,-1
53,85791,474,-1,-1
54,87076,751,-1,-1
55,90635,5671,-1,-1
56,91531,449,-1,1
57,91865,786,-1,-1
58,91865,646,-1,-1
59,117435,576,-1,-1
60,126645,302,-1,-1
61,126645,455,-1,-1
62,126645,5836,-1,-1
63,142297,635,-1,1
64,149945,635,-1,-1
65,149945,496,-1,-1
66,185099,651,-1,-1
67,206534,646,-1,0
68,206534,757,-1,-1
69,206534,560,-1,0
70,206534,555,-1,-1
71,206653,646,-1,-1
72,206653,560,-1,-1
73,208640,646,-1,-1
74,209453,491,-1,-1
75,226474,673,-1,1
76,227038,723,-1,1
77,227065,723,-1,1
78,227456,723,-1,1
79,234710,721,-1,-1
80,241269,643,-1,1
81,252930,646,-1,1
