,compound-id,chembl_id,chembl-name,smiles,drugbank-id,drugbank-name
0,148,CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,,
66,173,CHEMBL6269,SC-58272,Cc1nccn1CCCCc1ccc(CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)NCCC2CCCCC2)cc1,,
87,213,CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,
92,250,CHEMBL269497,,Cc1cccc(Sc2cncc3sc(C(N)=O)cc23)c1,,
99,424,CHEMBL266801,,CN1CCN2CC(c3ccc([N+](=O)[O-])cc3)c3ccccc3C2C1,,
101,436,CHEMBL6543,,CCc1nc(Br)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,,
103,491,CHEMBL451551,,CC12CCC(OC=O)CC1CCC1C2CCC2(C)[C@@H](C3=CC(=O)OC3)C(OC=O)CC12O,,
105,675,CHEMBL441329,,COc1cccc2nc(N3CCNCC3)cnc12,,
109,687,CHEMBL6456,,Oc1ccc(/C(=C(/c2ccccc2)C(F)(F)F)C(F)(F)F)cc1,,
111,717,CHEMBL7055,,N#Cc1ccc2nc(N3CCNCC3)cnc2c1,,
758,799,CHEMBL6373,,Br.Oc1noc2c1CNCC2,,
817,818,CHEMBL6839,,C/N=c1\ccc(-c2ccc(N3CC(CNC(C)=O)OC3=O)cc2)ccc1O,,
819,819,CHEMBL6849,,NS(=O)(=O)c1cc(C(=O)NN2Cc3ccccc3C2C(=O)O)ccc1Cl,,
821,824,CHEMBL6429,,N#Cc1ccc(-c2cc(C(N)=O)c(Cl)nn2)cc1Cl,,
823,857,CHEMBL7132,,C[C@@H](N)Cc1c2ccoc2c(C(F)(F)F)c2ccoc12.Cl,,
825,858,CHEMBL263083,,C[C@H](N)Cc1c2ccoc2c(Br)c2ccoc12.Cl,,
828,860,CHEMBL266432,,Nc1nc2ccccc2nc1N1CCNCC1,,
837,892,CHEMBL7004,,Cc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,,
843,923,CHEMBL6750,,CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,,
1211,924,CHEMBL266732,,Fc1ccccc1Cn1cnc2c(NC3CCC3)ncnc21,,
1218,996,CHEMBL6902,,CC(C)NCC(O)COc1ccc(C[S+]([O-])CC2CC2)cc1,,
1226,1061,CHEMBL7000,,Nc1nc(O)c2cc(S(=O)(=O)c3ccc(Cl)c(Cl)c3)ccc2n1,,
1228,1146,CHEMBL6940,,Nc1nc(N)c2cc(NC(=O)Cc3ccc(Cl)c(Cl)c3)ccc2n1,,
1230,1219,CHEMBL266404,,COc1ccc2c(c1)Nc1ncnc(O)c1C2,,
1250,1370,CHEMBL29,BENZYLPENICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,,
1258,1413,CHEMBL7433,,O=C(Cc1c[nH]c2ccccc12)OC[C@H]1C[C@@H]2O[C@H]1[C@H]1C(=O)OC(=O)[C@@H]21,,
1318,1419,CHEMBL7323,,CC(C)(C)NCC(O)COC(=O)CCc1ccccc1,,
1323,1479,CHEMBL7332,,C=CCOc1cccc(C(=O)OCC(O)CNC(C)C)c1,,
1325,1480,CHEMBL266268,,CC(C)NCC(O)COC(=O)c1cccc(N)c1,,
1327,1575,CHEMBL7096,,Cc1c([N+](=O)[O-])oc2ccccc12,,
1329,1699,CHEMBL267615,,CCc1[nH]c2ccc(OC)cc2c1CCN(C)C,,
1331,1756,CHEMBL35,FUROSEMIDE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,,
1334,1763,CHEMBL268558,,Clc1ccc(N2CCN(Cc3cnn4ccc5ccccc5c34)CC2)cc1,,
1356,1785,CHEMBL7634,OXOTREMORINE,O=C1CCCN1CC#CCN1CCCC1,,
1365,1994,CHEMBL263957,,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)COCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,
1368,2067,CHEMBL7475,,CCCCC/C=C/CC1OC1C/C=C\C/C=C\CCCC(=O)O,,
1371,2080,CHEMBL7333,,CCCCCCCC(=O)c1c(O)cc(C)oc1=O,,
1741,2093,CHEMBL7470,,CNC(=O)NCC(NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O,,
1781,2203,CHEMBL267652,,CCc1noc2c(Cl)c3c(cc12)CC(C(=O)O)O3,,
1787,2208,CHEMBL414022,,Cc1cc(-c2c(F)cc3c(=O)ccn(C4CC4)c3c2F)cc(C)n1,,
2323,2214,CHEMBL7534,,Cc1cc(-c2c(F)cc3c(=O)c(Cc4ccc(O)cc4)cn(C4CC4)c3c2F)cc(C)n1,,
2329,2223,CHEMBL7364,,CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CSCCOCCOCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21)NC(C)=O,,
2337,2261,CHEMBL268404,,CN(C)c1ncnc2c1ncn2Cc1cccc(I)c1,,
2342,2262,CHEMBL7800,,CN(C)c1ncnc2c1ncn2Cc1cccc(C(F)(F)F)c1,,
2346,2580,CHEMBL8191,,Oc1cccc(CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1O,,
2418,2658,CHEMBL8401,,COC(=O)C(C)(C)CCCOc1ccc(C)c(OCCCC(C)(C)C(=O)OC)c1,,
2486,2749,CHEMBL266282,AL-43,C=CCC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,,
2491,2812,CHEMBL267706,,Nc1nc2c(s1)CN=C(c1ccccc1F)c1cc(Cl)ccc1-2,,
2565,2866,CHEMBL428670,,CC(=O)NC1C(O)OC(COC(C)=O)C(OC(C)=O)C1O[C@H](C)C(=O)N[C@@H](C)C(=O)NC(CCC(=O)O)C(N)=O,,
2628,3012,CHEMBL8414,,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1CCc1ccccc1,,
2692,3183,CHEMBL8456,,CC(C)(C)c1ccc(CN2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)cc1,,
2696,3587,CHEMBL8536,,COc1ccccc1N1CCN(CCCC2=CCCc3cccc(OC)c32)CC1,,
2698,3784,CHEMBL409062,,Cn1c(C(=O)NCCCn2ccnc2)cc2ccccc21,,
2765,3847,CHEMBL8491,,Cc1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3ccccc3C1=O)C2=O.[Br-].[Br-],,
2769,3848,CHEMBL9074,,CCCC[C@@H](C[C@@H](CCc1ccc(-c2ccc(OC)cc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O,,
2773,3854,CHEMBL268951,,CC(C)C[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)O[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)N1C,,
2777,3859,CHEMBL8895,,CCc1c(CC(=O)NC)nn(-c2ccccc2)c1-c1ccccc1,,
2839,3965,CHEMBL8868,,CCCC[C@@H](C[C@@H](CCc1ccc(-c2ccc(C(=O)N(C)C)cc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O,,
2905,3998,CHEMBL9060,,CCCCCCCC/C=C\CCCCCCCCN1CCOCC1,,
2911,4149,CHEMBL9118,,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN(CC)CC)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,,
2913,4259,CHEMBL8671,,COc1ccc(NC(=O)N2C[C@@H](c3ccc4c(c3)OCO4)[C@H](C(=O)O)[C@H]2c2ccc(OC)cc2)cc1,,
2915,4344,CHEMBL273364,,CC(=O)c1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,,
2918,4370,CHEMBL9523,,CCCCC/C=C/C/C=C/C/C=C/CCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,
2920,4496,CHEMBL267433,,CC12CCC3C(C(Cc4ccccc4)=CC4=CC(=O)CCC43C)C1CCC2=O,,
2930,4504,CHEMBL9287,,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc(Cl)c2Cl)c1,,
3009,4634,CHEMBL275789,,COc1ccc(-n2c(NNC(=O)Nc3cccc(C)c3)nc3ccccc3c2=O)cc1OC,,
3014,4775,CHEMBL416700,,COc1ccc(CCCN2CCC(CCC(c3ccccc3)c3ccccc3)CC2)cc1,,
3077,4843,CHEMBL9735,,CC(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(C)=O,,
3079,4872,CHEMBL9527,,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1,,
