,compound-id,chembl_id,chembl-name,smiles
0,148,CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
1,173,CHEMBL6269,SC-58272,Cc1nccn1CCCCc1ccc(CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)NCCC2CCCCC2)cc1
2,213,CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
3,250,CHEMBL269497,,Cc1cccc(Sc2cncc3sc(C(N)=O)cc23)c1
4,424,CHEMBL6459,,CN1CCN2CC(c3ccc(Cl)cc3)c3ccccc3C2C1
5,436,CHEMBL404992,,CCCN1CCN2CC(c3ccccc3)c3ccccc3C2C1
6,491,CHEMBL6528,,CN(C)CC1c2ccccc2C(c2ccccc2)CN1C
7,675,CHEMBL7020,,Fc1ccc2nc(N3CCNCC3)cnc2c1
8,687,CHEMBL6648,,NS(=O)(=O)c1cccc2ccccc12
9,717,CHEMBL6740,,CC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCc1cccnc1
10,799,CHEMBL6367,GPI-1046,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1
11,818,CHEMBL269705,RO-145975,CCOC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(Cl)ccc1-2
12,819,CHEMBL6839,,C/N=c1\ccc(-c2ccc(N3CC(CNC(C)=O)OC3=O)cc2)ccc1O
13,824,CHEMBL269058,,N=C1CCCCN1
14,857,CHEMBL269046,,CNc1ncnc2c1ncn2Cc1c(F)cccc1Cl
15,858,CHEMBL7132,,C[C@@H](N)Cc1c2ccoc2c(C(F)(F)F)c2ccoc12.Cl
16,860,CHEMBL6706,,C[C@@H](N)Cc1c2ccoc2c(Br)c2ccoc12.Cl
17,892,CHEMBL6684,,Nc1ccc2nc(N3CCNCC3)cnc2c1
18,923,CHEMBL268809,,NS(=O)(=O)c1cccc2cccnc12
19,924,CHEMBL6750,,CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
20,996,CHEMBL21,SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1
21,1061,CHEMBL428478,,CC1(C)N=C(N)N=C(N)N1c1ccc(S(N)(=O)=O)cc1
22,1146,CHEMBL422,TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
23,1219,CHEMBL267180,,COc1cc2c(cc1OC)Nc1ncn(CCN3CCOCC3)c(=O)c1C2
24,1370,CHEMBL268878,,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1.CS(=O)(=O)O
25,1413,CHEMBL7337,,Cc1ccccc1C(=O)OCC(O)CNC(C)(C)C
26,1419,CHEMBL7533,,CC(C)(C)NCC(O)COC(=O)c1cccc([N+](=O)[O-])c1
27,1479,CHEMBL7532,,CC(C)(C)C(=O)c1cccnc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1
28,1480,CHEMBL7332,,C=CCOc1cccc(C(=O)OCC(O)CNC(C)C)c1
