,compound_id,cell_id,active
229,209873,726,-1
230,209885,726,-1
382,19721,561,-1
383,13590,561,-1
385,19721,389,-1
386,13590,389,-1
852,52734,723,-1
853,52844,723,-1
854,52876,723,-1
855,52555,723,-1
856,52074,723,-1
858,51899,723,-1
859,51936,723,-1
899,230545,723,-1
932,107306,723,-1
933,107305,723,-1
934,106303,723,-1
1314,176450,620,-1
1315,176451,620,-1
1316,176180,620,-1
1317,176836,620,-1
1318,176470,620,-1
1319,176478,620,-1
1320,176430,620,-1
1321,176127,620,-1
1322,176317,620,-1
1323,176308,620,-1
1324,176417,620,-1
1325,175945,620,-1
1326,176558,620,-1
1327,176085,620,-1
1328,176460,620,-1
1329,176102,620,-1
1330,176189,620,-1
1331,176318,620,-1
1332,176539,620,-1
1333,176146,620,-1
1649,208266,449,-1
1664,207906,449,-1
1668,207816,449,-1
1700,181965,308,-1
1707,220775,449,-1
1708,220768,449,-1
1709,36132,449,-1
1710,35905,449,-1
1711,35617,449,-1
2573,43030,449,-1
2574,43065,449,-1
2575,43066,449,-1
3530,237789,722,-1
5739,1385982,663,-1
5752,1385977,663,-1
5877,142470,702,-1
6240,263287,663,-1
6241,263692,663,-1
6242,263196,663,-1
6615,182872,702,-1
6616,182408,702,-1
6617,137003,702,-1
6618,16800,702,-1
6699,33772,702,-1
6701,33361,702,-1
6702,33395,702,-1
6703,34401,702,-1
6704,34335,702,-1
6705,34333,702,-1
6706,33417,702,-1
6707,34402,702,-1
6708,33362,702,-1
6709,4989,702,-1
6710,34399,702,-1
6711,34416,702,-1
6712,34400,702,-1
6713,34334,702,-1
6714,33505,702,-1
6715,34336,702,-1
7594,194481,478,-1
7854,48737,574,-1
7855,1386783,574,-1
7856,408728,574,-1
7857,1387290,574,-1
8928,138436,646,-1
8929,138001,646,-1
8959,141786,646,-1
9053,158549,646,-1
9142,155065,854,-1
9143,155121,854,-1
9159,179144,854,-1
9172,61479,705,-1
9173,61510,705,-1
9174,60667,705,-1
9175,61105,705,-1
9176,60799,705,-1
9193,283229,392,-1
9194,27307,392,-1
9195,283574,392,-1
9196,60607,392,-1
9197,283199,392,-1
9198,283166,392,-1
9199,282804,392,-1
9200,283300,392,-1
9201,283198,392,-1
9202,283165,392,-1
9203,181968,392,-1
9267,130000,646,-1
9268,129944,646,-1
