compound-id,veces_repetido
152995,418
1927101,409
5105,283
71516,278
187372,271
151991,270
560078,243
8062,230
75901,202
5295,124
1294151,110
78759,87
334592,76
1326321,72
1296631,72
1302079,72
1548435,71
1331158,70
1310051,69
1308005,69
8632,69
1323861,68
505366,68
1286293,68
1116150,68
356083,68
1320272,68
675133,68
51929,67
1292283,67
586705,67
946146,67
1317447,66
1290155,66
1293346,66
1295686,65
425283,65
1301082,64
1548291,64
1316582,63
365103,63
1291995,63
1320792,62
257023,62
251777,62
103903,62
152957,62
1549346,61
4775,61
1324918,60
1300758,60
14440,60
35874,60
419032,60
499979,59
1287276,59
1302269,59
1293850,59
1548271,59
1180722,59
52696,59
1064110,59
1308993,59
1548207,58
1307871,58
1328332,58
563355,58
1548774,58
1309280,58
1290936,58
1317747,58
1325026,58
1417824,58
1315705,58
500098,58
1548571,58
1302843,57
50219,57
1548233,57
1549628,57
48376,57
1087199,57
1322890,56
50908,56
1417930,56
1290389,56
1298711,56
1291336,56
335273,56
1300693,56
1296706,56
1548944,56
1548286,56
23721,56
1320186,56
153013,56
1549368,56
421386,56
189109,56
1299800,56
1548353,55
1298337,55
1548319,55
1287061,55
1548368,55
322803,55
1319180,55
1285618,55
22664,55
1092090,55
1073669,54
1286484,54
1548375,54
75146,54
1322737,54
1613548,54
50593,54
1548222,54
22693,54
17283,54
1623546,53
2297516,53
1308902,53
1090888,53
1311764,53
1316187,53
22689,52
140626,52
1307005,52
1549443,52
50254,52
1311392,52
291953,52
1548339,52
1548387,52
23048,51
1297708,51
1548378,51
1310423,51
1083052,51
1548555,51
1086372,51
1322243,51
1294858,51
2402815,51
383065,51
188699,51
1548376,51
1141160,51
1109075,51
1325501,51
1290847,51
23003,51
50944,50
429181,50
1312910,50
1285861,50
1299317,50
1549143,50
1309876,50
95663,50
1303782,50
508470,50
1088506,50
1833739,50
1107252,50
69890,50
1295439,50
2314762,49
1549119,49
446301,49
1726441,49
190119,49
13590,49
22404,49
22733,49
1340723,49
425249,48
1548384,48
1323819,48
291459,48
189110,48
50122,48
50068,48
253443,48
1301259,48
102283,48
1099446,48
1304788,48
923,48
1318090,48
443988,48
150774,47
499753,47
443901,47
1417934,47
1098478,47
1321465,47
1311949,47
1548572,47
1316418,46
1327396,46
22653,46
75194,46
1312382,46
1549384,46
256904,46
1296423,46
1296304,46
1312119,46
118719,46
463083,45
1292485,45
581042,45
1313323,45
1296842,45
1548585,45
219568,45
61315,45
1321371,45
1305509,45
1325601,45
481621,45
188804,44
112777,44
2438978,44
255894,44
1313365,44
250427,44
523878,44
1307250,44
1417905,44
1835814,44
1308390,43
1549052,43
1300863,43
112277,43
2060432,43
1293157,43
119029,43
1321181,43
105171,43
1287033,43
1320933,43
259324,43
188773,43
1314617,43
394234,43
1316609,42
1835817,42
612045,42
1307785,42
1111689,42
1548937,42
1312023,41
1312854,41
1548367,41
255474,41
168932,41
1379628,41
1317813,41
1548380,40
1246861,40
1321380,40
1548580,40
1305249,40
608320,40
202771,39
1303752,39
1548301,39
1310740,39
1220034,39
202595,39
1326750,39
2053979,39
1318664,39
1549366,39
1290807,39
50595,38
1305431,38
108462,38
612049,38
1287275,38
552546,38
47573,37
313194,37
1548569,37
1303592,37
649926,37
1590662,37
1303201,37
1295834,36
64671,36
204361,36
1107730,36
461993,36
1548338,36
1285780,36
1287429,36
1311072,36
1549000,36
6614,36
1296944,36
1318392,35
1312410,35
1317809,35
4504,35
1318835,35
307667,35
1320302,35
76768,35
1316544,34
241824,34
1548292,34
74927,34
260718,34
1321863,34
1316344,34
594270,34
313565,34
561487,34
1312508,34
1294670,33
1103372,33
1305286,33
51979,33
112162,33
1623452,33
567388,33
1143686,33
255207,33
1548216,32
246935,32
1299053,32
1581043,32
1304124,32
313347,32
142808,32
1294937,31
1300358,31
1327626,31
1290787,31
1322470,31
49931,31
50153,31
569664,31
212379,31
1512419,31
1180204,31
1064111,31
1309025,31
44378,30
663824,30
425140,30
1548772,30
1549460,30
427010,30
442943,30
1306213,30
456066,30
1323772,30
75286,29
1301483,29
1549318,29
1306482,29
598111,29
18594,29
1313258,29
553879,29
1299464,29
76767,29
463131,29
1293010,29
121457,29
56458,28
1325675,28
1296453,28
1320986,28
345080,28
217945,28
313728,28
1292621,28
1294355,27
168418,27
1304857,27
1318557,27
1294025,27
1549324,27
115841,27
1313462,27
1315162,27
370502,27
1549586,27
1309727,27
242446,27
624736,27
1301616,27
1316046,26
360430,26
1290649,26
1549300,26
1117047,26
1297777,26
1309246,26
1286909,26
612046,26
1311461,26
1107750,25
1295661,25
1616076,25
1296813,25
1287727,25
1548589,25
285786,25
1264836,25
1291690,25
231557,25
7343,25
28853,24
1314857,24
1291657,24
415834,24
1376110,24
1290079,24
259355,24
268526,24
313563,24
1324161,24
1300472,23
1289912,23
1309855,23
1296257,23
453228,23
2321925,23
1287753,23
1417833,23
2332530,23
