,chembl_id,molregno,chembl-name,smiles
124,CHEMBL6246,148,ELLAGIC ACID,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
148,CHEMBL6,173,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
187,CHEMBL6291,213,BISINDOLYLMALEIMIDE IX,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21
222,CHEMBL10,250,SB-203580,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
366,CHEMBL414012,424,,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)c(F)c1
375,CHEMBL6616,436,,COc1cc(CC(C)N)c(OC)cc1I
414,CHEMBL6318,491,IDOXIFENE,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1
585,CHEMBL6623,675,EPIBATIDINE,Clc1ccc(C2CC3CCC2N3)cn1
593,CHEMBL269004,687,,CCCN(CCC)[C@H]1CCc2c(O)cccc2C1
618,CHEMBL409,717,BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
689,CHEMBL268098,799,,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3
706,CHEMBL6396,818,,Cc1cc(O)nc2c3c(ccc12)OC(C)(C)[C@H](OC(=O)C12CCC(C)(C(=O)O1)C2(C)C)[C@@H]3OC(=O)C12CCC(C)(C(=O)O1)C2(C)C
707,CHEMBL266928,819,,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)C(F)(F)F
712,CHEMBL6530,824,,CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21
740,CHEMBL268653,857,,Cc1c(O)nc2c3c(ccc2c1C)OC(C)(C)[C@H](OC(=O)C12CCC(C)(C(=O)O1)C2(C)C)[C@@H]3OC(=O)C12CCC(C)(C(=O)O1)C2(C)C
741,CHEMBL269559,858,,CC1(C)Oc2ccc3ccc(=O)oc3c2[C@@H](OC(=O)C23CCC(C)(C(=O)O2)C3(C)C)[C@H]1OC(=O)C12CCC(C)(C(=O)O1)C2(C)C
742,CHEMBL411,860,DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
772,CHEMBL14,892,CARBACHOL,C[N+](C)(C)CCOC(N)=O.[Cl-]
797,CHEMBL413,923,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
798,CHEMBL269732,924,TACROLIMUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
854,CHEMBL415,996,CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
907,CHEMBL6721,1061,,CCC1CC(CC)c2cc3c(C(F)(F)F)cc(=O)oc3cc2N1
985,CHEMBL267499,1146,,CC1(C)N=C(N)N=C(N)N1c1cccc(F)c1
1046,CHEMBL6966,1219,VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
1182,CHEMBL27,1370,PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12
1218,CHEMBL426,1413,,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
1224,CHEMBL7130,1419,,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
1269,CHEMBL266269,1479,,CC[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C
1270,CHEMBL7053,1480,,CC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C
1339,CHEMBL6959,1575,,CC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC
1435,CHEMBL7162,1699,NS-398,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1
1485,CHEMBL7724,1756,AG1295,Cc1cc2ncc(-c3ccccc3)nc2cc1C
1491,CHEMBL269277,1763,BETULINIC ACID,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
1512,CHEMBL429,1785,LABETALOL,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
1707,CHEMBL434,1994,ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1
1778,CHEMBL404519,2067,BEVIRIMAT,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
1789,CHEMBL36,2080,PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
1800,CHEMBL7375,2093,,COc1ccc(OC)c(CC2CCc3nc(N)nc(N)c3C2)c1
1903,CHEMBL442,2203,ERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
1908,CHEMBL38,2208,TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
1914,CHEMBL39,2214,SEROTONIN,NCCc1c[nH]c2ccc(O)cc12
1923,CHEMBL41,2223,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
1960,CHEMBL42,2261,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
1961,CHEMBL445,2262,NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21
2232,CHEMBL43,2580,AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
2282,CHEMBL44,2658,GENISTEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
2353,CHEMBL276473,2749,4'-HYDROXYCHALCONE,O=C(/C=C/c1ccccc1)c1ccc(O)cc1
2402,CHEMBL429023,2812,ROTENONE,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
