compound_id,cell_id,active
1148287,1,1
178357,1,-1
13590,1,-1
2580,1,1
5105,1,1
1337017,2,-1
444713,2,-1
42503,2,-1
446279,3,-1
103459,3,-1
287231,3,1
16758,3,-1
5769,3,-1
16949,3,-1
2304079,3,1
194342,5,1
717,5,-1
2005315,5,1
2005389,5,-1
623658,5,-1
13590,5,-1
571772,5,-1
56713,5,-1
1927101,5,-1
194311,5,-1
71516,5,1
78759,5,-1
195649,5,1
1379628,5,-1
62111,5,-1
570962,5,-1
2208,5,-1
194337,5,1
119498,5,-1
1294151,5,1
675133,5,-1
183934,5,-1
568338,5,-1
68607,5,-1
291635,5,-1
1967066,5,-1
419032,5,-1
56458,5,1
560078,5,-1
152995,5,1
716337,5,-1
597145,5,-1
11305,5,-1
489525,5,-1
630975,5,-1
608601,5,-1
460092,5,-1
426660,5,-1
56459,5,1
470511,5,-1
649637,5,-1
360439,5,-1
479169,5,-1
78759,5,1
427010,5,-1
1348359,5,-1
5105,5,1
151991,5,1
469866,5,-1
1162276,5,-1
49931,5,-1
1797953,5,-1
51182,5,-1
88232,5,-1
650126,5,-1
1540172,5,-1
75901,5,-1
5268,5,-1
1220034,5,1
494280,5,-1
651088,5,-1
508147,5,-1
453228,5,-1
619010,5,-1
446780,5,-1
8633,5,-1
1178704,5,-1
1704202,7,-1
68607,7,-1
1704201,7,-1
399526,9,-1
29831,10,-1
322288,11,-1
597145,13,-1
619010,13,-1
1294151,13,-1
1927101,13,-1
183934,13,-1
1220034,13,-1
78759,13,-1
630975,13,-1
426660,13,-1
71516,13,-1
494280,13,-1
13590,13,-1
1348359,13,-1
453228,13,-1
1037712,13,-1
51182,13,-1
568338,13,-1
470511,13,-1
460092,13,-1
427010,13,-1
469866,13,-1
2208,13,-1
649637,13,-1
1797953,13,-1
570962,13,-1
360439,13,-1
319858,13,-1
479169,13,-1
1540172,13,-1
88232,13,-1
623658,13,-1
152995,13,-1
62111,13,-1
651088,13,-1
5268,13,-1
1379628,13,-1
49931,13,-1
68607,13,-1
8633,13,-1
56713,13,-1
5105,13,-1
508147,13,-1
717,13,-1
650126,13,-1
571772,13,-1
75901,13,-1
291635,13,-1
119498,13,-1
419032,13,-1
716337,13,-1
1162276,13,-1
489525,13,-1
151991,13,-1
675133,13,-1
