molregno,smiles
97,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
115,CN1CCC[C@H]1c1cccnc1
146,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
147,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
148,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
173,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
194,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
205,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1
207,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
210,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1
237,CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21
241,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
246,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
250,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
273,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1
322,COc1ccc2c(c1)[nH]c1c(C)nccc12
401,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
418,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O
442,NCCc1c[nH]c2ccccc12
561,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
567,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCN(C)C)cc1)c1ccccc1
573,CN1CCN2c3ccccc3Cc3ccccc3C2C1
594,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
605,CN(C)CCCN1c2ccccc2CCc2ccccc21
619,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
635,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
646,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCN(C)C)cc1)c1ccccc1
666,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
669,Cc1cc(CCCCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1
695,Cc1cc(=O)n(C(=O)OC(C)(C)C)c2c3c(ccc12)OC(C)(C)[C@H](O)[C@@H]3O
696,Cc1cc(O)nc2c3c(ccc12)OC(C)(C)C=C3
702,Cc1cc(=O)n(C(=O)OC(C)(C)C)c2c3c(ccc12)OC(C)(C)C=C3
717,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
721,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
789,COCCc1ccc(OCC(O)CNC(C)C)cc1
822,C=CCc1ccccc1OCC(O)CNC(C)C
853,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
860,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
880,CNC1(C)C2CCC(C2)C1(C)C
921,O=C1N=C(O)NC1(c1ccccc1)c1ccccc1
923,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
941,NS(=O)(=O)c1ccc(C(=O)O)cc1
969,Nc1ccccc1S(N)(=O)=O
996,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
1009,CCNC1C2CCC(C2)C1c1ccccc1
1022,COC(=O)C1=CCCN(C)C1
1063,COc1c2occc2cc2ccc(=O)oc12
1085,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
1096,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
1114,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
1124,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
1125,CC(=O)Nc1nnc(S(N)(=O)=O)s1
1148,NCc1ccc(S(N)(=O)=O)cc1
1159,Nc1ccc(S(N)(=O)=O)cc1
1166,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CC[C@]2(O)C(=O)CO
1202,N=C(N)N/N=C/c1c(Cl)cccc1Cl
1209,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
1216,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
1219,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
1223,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
1256,O=c1ccc2ccccc2o1
1278,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
1279,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
1280,CC(=O)Oc1ccccc1C(=O)O
1324,C=C(C)c1cc2c3c(ccc2o1)[C@@H]1COc2cc(O)ccc2[C@@H]1O3
1325,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
1333,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
1354,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
1362,O=C(O)c1ccccc1O
1365,CC(=O)c1cc2c3c(ccc2o1)[C@@H]1COc2cc(O)ccc2[C@@H]1O3
1369,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
1370,CC(C)NCC(O)COc1cccc2ccccc12
1380,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
1413,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
1529,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1
1551,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@@H](C)[C@H](C)[C@H]3O
1564,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
1615,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
1616,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12
1620,CN/C(=N/CCSCc1nc[nH]c1C)NC#N
1712,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
1763,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
1785,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
1788,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
1795,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
1797,NS(=O)(=O)c1ccc(/C=C/c2ccc(F)cc2)cc1
1798,COc1cccc(/C=C/c2ccc(S(N)(=O)=O)cc2)c1
1823,CC(C)(CNC(N)=O)NCC(O)COC(=O)c1ccccc1F
1836,NS(=O)(=O)c1ccc(/C=C/c2cccc(O)c2)cc1
1907,NS(=O)(=O)c1ccc(/C=C/c2ccc(O)cc2)cc1
1908,CN(C)c1ccc(/C=C/c2ccc(S(N)(=O)=O)cc2)cc1
1994,CC(C)NCC(O)c1ccc(O)c(O)c1
2015,COc1cc(/C=C/c2ccc(S(N)(=O)=O)cc2)cc(OC)c1
2045,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
2046,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
2067,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
2076,O=C1CCCN1CC#CCN1CCCC1
2080,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
2095,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
2110,CCCc1cc(=O)oc2c(C(=O)C(C)C(C)(C)O)c(O)c3c(c12)OC(C)(C)C=C3
2124,O=C(O)Cc1nn(Cc2ccc(Br)cc2F)c(=O)c2ccccc12
2131,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
2132,C=CCC1(C(C)CCC)C(=O)N=C(S)NC1=O
2166,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
2168,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC[C@H](C)C3=O
2203,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
2208,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
2214,NCCc1c[nH]c2ccc(O)cc12
2217,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
2223,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
2232,COc1ccc2[nH]cc(CCN(C)C)c2c1
2241,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12
2247,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
2249,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
2256,CCC1(CC)C(=O)NC(=O)NC1=O
2261,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
2262,CNCCC=C1c2ccccc2CCc2ccccc21
2265,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
2326,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
2327,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
2355,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
2366,CCC1(CCC(C)C)C(=O)N=C(O)NC1=O
2367,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
2407,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
2408,CCC1(CC)C(=O)NC(=O)N(C)C1=O
2416,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
2431,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
2451,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1
2465,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
2484,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
2516,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
2524,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
2525,CC(=O)NS(=O)(=O)c1ccc(N)cc1
2580,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
2597,CC1(c2ccccc2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
2654,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
2658,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
2689,O=C(/C=C/c1ccccc1)c1ccccc1
2724,CCCN1CCC[C@@H](c2cccc(O)c2)C1
2748,O=C(/C=C/c1ccc(O)cc1)c1ccccc1
2819,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
2885,O=C(O)CC(=O)O
2994,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
3012,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
3044,C=CCOc1cccc2c1-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3
3098,COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-]
3103,COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21
3179,NC1=NC(c2cccnc2)Cc2ccsc21
3183,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
3207,C=CCC1Oc2cccc(OCC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
3281,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
3326,C=CCC1Oc2cccc(OCc3ccccc3)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
3345,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
3367,C=CCC1Oc2cccc(OCC3CC3)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
3395,C=CCC1Oc2cccc(CN)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
3409,Cc1cccc(Oc2cnc(O)nc2)c1
3414,C=CCC1Oc2ccc(OCC)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
3420,C=CCC1Oc2cccc(C(=O)OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
3439,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
3450,NC1=NCCc2sccc21
3451,C=CCC1Oc2cccc(COC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
3583,COc1cc(CC(C)N)c(OC)cc1C
3587,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1
3599,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
3665,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12
3666,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
3683,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
3689,O=C(O)COc1ccc(CCNS(=O)(=O)c2ccccc2)cc1
3767,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(=O)CCC12
3784,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
3799,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
3854,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
3859,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
3871,CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCNS(=O)(=O)c2ccc(Cl)c(Cl)c2)Cc2cc3c(cc2S1(=O)=O)OCCO3
3889,CCN1C(=O)C=CC1=O
3962,O=C(NCCNS(=O)(=O)c1ccccc1)C(=O)[C@H](Cc1ccccc1)NC(=O)C1Cc2cc3c(cc2S(=O)(=O)N1)OCCO3
3963,O=C(O)CNC(=O)c1ccccc1
3965,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
3986,CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1
4011,Nc1ccc(C(=O)NCC(=O)O)cc1
4109,CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCCNS(=O)(=O)c2ccc(Cl)c(Cl)c2)Cc2cc3c(cc2S1(=O)=O)OCCO3
4128,CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCNS(C)(=O)=O)Cc2cc3c(cc2S1(=O)=O)OCCO3
4193,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
4228,CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O
4240,CN1CC=C(c2c(O)cc(O)c3c(=O)oc(-c4ccccc4Cl)cc23)CC1
4263,CN1CC=C(c2c(O)cc(O)c3c(O)cc(-c4ccccc4)nc23)CC1
4271,O=c1cc(-c2ccccc2Cl)oc2c(-c3cncnc3)c(O)cc(O)c12
4274,CC(C)(CN1C(=O)c2cccc3cccc(c23)C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN1C(=O)c2cccc3cccc(c23)C1=O.[Br-].[Br-]
4308,Cc1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3cccc4cccc(c34)C1=O)C2=O.[Br-].[Br-]
4314,O=c1cc(-c2ccccc2Cl)oc2c(-c3ccncc3)c(O)cc(O)c12
4315,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(C4CCCCC4)oc23)CC1
4320,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O
4345,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
4354,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccncc4)oc23)CC1
4356,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4)oc23)CC1
4357,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4I)oc23)CC1
4361,CCCCCCCC/C=C\CCCCCCCC(=O)O
4381,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
4388,CC(C)(CN1C(=O)c2cccc3cccc(c23)C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O.[Br-].[Br-]
4391,Cc1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN1C(=O)c3cccc4cccc(c34)C1=O)C2=O.[Br-].[Br-]
4398,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
4399,CCCc1c(OCC(O)COc2ccc3c(=O)cc(C(=O)O)oc3c2CCC)ccc(C(C)=O)c1O
4411,CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O
4480,N[C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21
4504,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
4531,O=C(c1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)c(-c2ccccc2)c1)c1ccccc1
4565,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O)CCCN1C(=O)c2cccc3cccc(c23)C1=O.[Br-].[Br-]
4584,NCCc1ccc(O)c(O)c1
