cell_id,cell_top10,value_top10
433,"[1501, 1262, 1434, 622, 1478, 651, 1220, 646]","[0.8292894588490054, 0.8187765547886937, 0.8176067373089614, 0.8156561158399694, 0.8142928533282234, 0.810376888982689, 0.8041002695060915, 0.803173192250484]"
163,"[698, 651, 646, 1501, 641, 786, 165, 633, 623, 405]","[0.8956966327324026, 0.8660311334932109, 0.8606224294999262, 0.8574763402484417, 0.8565855403068754, 0.8542052860144628, 0.8540024695416433, 0.8534968904675442, 0.8529485313945608, 0.8519303118756544]"
377,"[408, 1506, 646, 633, 641, 786, 651, 405]","[0.9168315626718784, 0.8976510508479817, 0.849922675597593, 0.8492254620788038, 0.8489598951868688, 0.8470804841717012, 0.846187468129599, 0.8459444796146297]"
620,[1611],[0.8098843080753313]
621,"[478, 610, 1019]","[0.8294095294386521, 0.8142067128807, 0.8127996670919596]"
366,"[784, 630, 669, 646, 789, 786, 641, 651, 1501, 1436]","[0.8552924540825716, 0.853234807331657, 0.8518365201082566, 0.8440284215316387, 0.8424573888429414, 0.835583307667112, 0.8338522662201683, 0.8334557480844514, 0.8308235622312599, 0.828513048841085]"
1207,"[725, 304, 1347, 797, 623, 633, 405, 1215, 645]","[0.9246502426349248, 0.9149392860052938, 0.8980136196574204, 0.893064779016381, 0.8928189836414857, 0.8877486019715473, 0.8854058289297077, 0.8808922255350696, 0.8807648767758203]"
1441,"[796, 1443, 1471, 1503, 623, 1470, 165, 633]","[0.8999079519765213, 0.8946854094709743, 0.8902705376083171, 0.8880731295315465, 0.8856591659982993, 0.879886897111183, 0.8779142304685942, 0.8777692026455473]"
1208,"[448, 498, 391, 624, 626, 645, 633, 405, 623, 797]","[0.9303046428963888, 0.9239332526867288, 0.9222281593516496, 0.9157776332818665, 0.9145136121146118, 0.8808338075167667, 0.8656206009467496, 0.8642274564798352, 0.8625653254821626, 0.8592675262847347]"
391,"[498, 626, 624, 448, 1208, 641, 646, 405, 786, 633]","[0.94470839815167, 0.940330588236921, 0.9324827718940298, 0.9282745468917936, 0.9222281593516496, 0.8680588864540233, 0.8674160772532867, 0.8651890302757946, 0.8640645734180408, 0.8633926066288076]"
1209,"[1346, 1383, 1214, 1246, 1380, 633, 623, 405, 165]","[0.9330745551808404, 0.9085179859770418, 0.895792528020608, 0.8949712279356277, 0.8722661897357489, 0.8643899183297951, 0.8591092037845627, 0.8587719692420672, 0.8572344915562414]"
854,"[1352, 797, 623, 651, 405, 646, 641, 1444, 973, 633]","[0.8538864131025906, 0.8442424330269656, 0.8432801408458993, 0.8423903862314183, 0.837003879887145, 0.8361383149226316, 0.8352056542909642, 0.8350406693640928, 0.8333834677191736, 0.8329449165351493]"
1346,"[1209, 1214, 1246, 1383, 367, 633]","[0.9330745551808404, 0.9322270782090054, 0.9183038962801612, 0.9124570886848672, 0.8867673371789044, 0.857793775329801]"
