compuesto,cell,active
1907,789,-1
1836,789,-1
111027,498,-1
110451,498,-1
85791,635,-1
85791,649,-1
4775,718,-1
141538,1163,-1
141783,1163,-1
141569,1163,-1
107119,726,-1
311303,635,-1
311303,624,-1
311303,408,-1
311081,635,-1
311081,624,-1
311081,408,-1
311266,624,-1
311266,626,-1
311266,641,-1
311343,624,-1
311343,641,-1
311343,668,-1
311352,641,-1
311352,668,-1
311265,641,-1
315829,697,-1
315829,408,-1
316005,697,-1
315623,697,-1
315623,408,-1
315913,697,-1
315913,408,-1
315944,697,-1
315944,408,-1
315916,697,-1
315916,408,-1
316013,697,-1
316013,408,-1
326597,697,-1
326597,408,-1
315739,408,-1
92150,408,-1
315654,408,-1
315683,408,-1
326480,408,-1
326492,408,-1
323352,408,-1
366751,669,-1
366768,669,-1
366769,669,-1
366778,669,-1
366779,669,-1
379046,669,-1
379065,669,-1
379062,669,-1
379060,669,-1
379058,669,-1
379055,669,-1
379054,669,-1
379053,669,-1
379052,669,-1
379886,669,-1
379890,669,-1
379889,669,-1
379888,669,-1
379887,669,-1
383692,669,-1
395071,669,-1
395079,669,-1
395074,669,-1
395072,669,-1
432032,669,-1
429230,669,-1
429917,669,-1
429918,669,-1
436066,669,-1
466246,669,-1
466245,669,-1
466230,669,-1
6104,973,-1
600106,973,-1
600105,973,-1
600103,973,-1
600100,973,-1
600099,973,-1
600098,973,-1
600097,973,-1
600096,973,-1
600094,973,-1
600091,973,-1
1763,973,-1
68607,993,-1
8062,993,1
622574,973,-1
622582,973,-1
622581,973,-1
622580,973,-1
622579,973,-1
622578,973,-1
622577,973,-1
622576,973,-1
622575,973,-1
622573,973,-1
622572,973,-1
622571,973,-1
622569,973,-1
71378,973,-1
612191,973,-1
632163,973,-1
632164,973,-1
632165,973,-1
632166,973,-1
632167,973,-1
632168,973,-1
632169,973,-1
632170,973,-1
71232,973,-1
71232,302,-1
126068,973,-1
126068,455,-1
126068,302,-1
683917,973,-1
683918,973,-1
683919,973,-1
683920,973,-1
683921,973,-1
683922,973,-1
171563,993,-1
702977,973,-1
702974,973,-1
702978,973,-1
702979,973,-1
702981,973,-1
702980,973,-1
702982,973,-1
702983,973,-1
702984,973,-1
710736,973,-1
710789,973,-1
710846,973,-1
708749,973,-1
708754,973,-1
708757,973,-1
708760,973,-1
708768,973,-1
708769,973,-1
708770,973,-1
387585,973,-1
1053194,973,-1
1053195,973,-1
1053196,973,-1
1053197,973,-1
1053198,973,-1
1053199,973,-1
1053200,973,-1
1053201,973,-1
1053202,973,-1
1053203,973,-1
270724,1163,-1
561598,993,-1
1272632,993,-1
1272633,993,-1
1272634,993,-1
1272635,993,-1
1272636,993,-1
1272637,993,-1
1272638,993,-1
1272639,993,-1
1272640,993,-1
1272641,993,-1
1272642,993,-1
1272643,993,-1
568342,993,-1
1344784,973,-1
1344785,973,-1
1344786,973,-1
1344787,973,-1
1344788,973,-1
1344789,973,-1
1344790,973,-1
1344791,973,-1
1344794,973,-1
433092,636,-1
6968,973,-1
137532,973,-1
62979,973,-1
182313,973,-1
5105,842,-1
477093,973,-1
597960,973,-1
1422401,973,-1
1422402,973,-1
1422403,973,-1
1578817,993,-1
1578816,993,-1
1578815,993,-1
1578814,993,-1
1578813,993,-1
1578812,993,-1
1578811,993,-1
1578810,993,-1
11026,993,-1
11305,446,-1
172779,993,-1
1788177,993,-1
853,377,-1
2068507,993,-1
52812,791,-1
475589,1154,-1
475589,1019,-1
475589,1261,-1
645012,993,-1
2245418,391,-1
2210554,391,-1
2237686,391,-1
2218714,391,-1
2229033,391,-1
2207830,391,-1
2234306,391,-1
2208561,391,-1
2229678,391,-1
78759,993,-1
2234994,993,-1
2240638,993,-1
2225205,391,-1
415839,993,-1
1820935,993,1
1820935,391,1
5575,630,-1
5575,779,-1
102920,726,-1
58424,726,-1
58424,791,-1
464921,791,-1
46884,485,-1
404688,726,-1
368538,634,-1
345080,628,1
345080,779,1
2411227,673,-1
2403262,673,-1
2377535,673,-1
936360,673,-1
1376145,649,1
383750,628,-1
57175,408,-1
2658,779,-1
53686,714,-1
434441,726,-1
434441,798,-1
522178,726,-1
88797,469,-1
88797,641,-1
88797,391,-1
88797,626,-1
88797,498,-1
88797,408,-1
88797,669,-1
88797,789,-1
344591,631,-1
344591,456,-1
151991,42,1
477344,500,1
338934,649,-1
88232,669,-1
88232,791,-1
54742,779,-1
54742,726,-1
14785,1379,-1
14785,1574,-1
119522,779,-1
418570,779,-1
48701,1574,-1
77129,629,-1
421449,629,-1
6579,629,-1
57200,635,-1
1429176,635,-1
1429176,641,-1
1429176,626,-1
1429176,408,-1
14805,1379,-1
61756,779,-1
98987,779,-1
98987,485,-1
429998,455,-1
1288866,562,-1
1328196,562,-1
130007,726,-1
2428200,500,-1
2348942,500,-1
36237,565,-1
2227879,649,-1
602271,408,-1
469866,791,-1
469866,726,-1
469866,495,-1
14221,455,-1
27229,455,-1
15738,726,-1
2055051,791,-1
2055066,791,-1
444765,455,-1
126645,455,-1
2054914,455,-1
2221660,455,-1
