compuesto,cell_interact,cell,active
1907,789,630,-1
1907,789,784,-1
1907,789,1225,-1
1907,789,1228,-1
1907,789,1379,-1
1907,789,1621,-1
1836,789,630,-1
1836,789,784,-1
1836,789,1225,-1
1836,789,1228,-1
1836,789,1379,-1
1836,789,1621,-1
111027,498,626,-1
111027,498,624,-1
111027,498,448,-1
111027,498,391,-1
111027,498,1208,-1
111027,498,405,-1
111027,498,633,-1
111027,498,651,-1
110451,498,626,-1
110451,498,624,-1
110451,498,448,-1
110451,498,391,-1
110451,498,1208,-1
110451,498,405,-1
110451,498,633,-1
110451,498,651,-1
85791,635,649,-1
85791,635,651,-1
85791,635,1501,-1
85791,635,1441,-1
85791,635,1503,-1
85791,635,564,-1
85791,649,1501,-1
85791,649,726,-1
85791,649,1436,-1
85791,649,651,-1
4775,718,564,-1
4775,718,1573,-1
4775,718,1501,-1
4775,718,623,-1
141538,1163,641,-1
141538,1163,495,-1
141538,1163,651,-1
141538,1163,565,-1
141538,1163,623,-1
141538,1163,1575,-1
141538,1163,1436,-1
141538,1163,797,-1
141783,1163,641,-1
141783,1163,495,-1
141783,1163,651,-1
141783,1163,565,-1
141783,1163,623,-1
141783,1163,1575,-1
141783,1163,1436,-1
141783,1163,797,-1
141569,1163,641,-1
141569,1163,495,-1
141569,1163,651,-1
141569,1163,565,-1
141569,1163,623,-1
141569,1163,1575,-1
141569,1163,1436,-1
141569,1163,797,-1
107119,726,1220,-1
107119,726,697,-1
107119,726,1501,-1
107119,726,1436,-1
311303,635,651,-1
311303,635,1501,-1
311303,635,1441,-1
311303,635,1503,-1
311303,635,564,-1
311303,624,448,-1
311303,624,1208,-1
311303,624,797,-1
311303,624,633,-1
311303,408,377,-1
311303,408,1506,-1
311303,408,651,-1
311303,408,1436,-1
311303,408,633,-1
311303,408,797,-1
311081,635,651,-1
311081,635,1501,-1
311081,635,1441,-1
311081,635,1503,-1
311081,635,564,-1
311081,624,448,-1
311081,624,1208,-1
311081,624,797,-1
311081,624,633,-1
311081,408,377,-1
311081,408,1506,-1
311081,408,651,-1
311081,408,1436,-1
311081,408,633,-1
311081,408,797,-1
311266,624,626,-1
311266,624,448,-1
311266,624,1208,-1
311266,624,641,-1
311266,624,797,-1
311266,624,786,-1
311266,624,633,-1
311266,626,624,-1
311266,626,448,-1
311266,626,1208,-1
311266,626,641,-1
311266,626,786,-1
311266,626,651,-1
311266,626,405,-1
311266,641,565,-1
311266,641,562,-1
311266,641,786,-1
311266,641,642,-1
311266,641,1436,-1
311266,641,495,-1
311266,641,651,-1
311343,624,448,-1
311343,624,1208,-1
311343,624,641,-1
311343,624,797,-1
311343,624,786,-1
311343,624,633,-1
311343,641,565,-1
311343,641,562,-1
311343,641,786,-1
311343,641,642,-1
311343,641,1436,-1
311343,641,495,-1
311343,641,651,-1
311343,668,633,-1
311343,668,405,-1
311343,668,797,-1
311343,668,641,-1
311343,668,624,-1
311352,641,565,-1
311352,641,562,-1
311352,641,786,-1
311352,641,642,-1
311352,641,1436,-1
311352,641,495,-1
311352,641,651,-1
311352,668,633,-1
311352,668,405,-1
311352,668,797,-1
311352,668,641,-1
311265,641,565,-1
311265,641,562,-1
311265,641,642,-1
311265,641,1436,-1
311265,641,495,-1
311265,641,651,-1
315829,697,726,-1
315829,697,1501,-1
315829,697,500,-1
315829,697,651,-1
315829,697,1436,-1
315829,697,641,-1
315829,697,302,-1
315829,697,1393,-1
315829,408,377,-1
315829,408,1506,-1
315829,408,641,-1
315829,408,651,-1
315829,408,1436,-1
315829,408,633,-1
315829,408,797,-1
316005,697,726,-1
316005,697,1501,-1
316005,697,500,-1
316005,697,651,-1
316005,697,1436,-1
316005,697,641,-1
316005,697,302,-1
316005,697,1393,-1
315623,697,726,-1
315623,697,1501,-1
315623,697,500,-1
315623,697,651,-1
315623,697,1436,-1
315623,697,641,-1
315623,697,302,-1
315623,697,1393,-1
315623,408,377,-1
315623,408,1506,-1
315623,408,641,-1
315623,408,651,-1
315623,408,1436,-1
315623,408,633,-1
315623,408,797,-1
315913,697,726,-1
315913,697,1501,-1
315913,697,500,-1
315913,697,651,-1
315913,697,1436,-1
315913,697,641,-1
315913,697,302,-1
315913,697,1393,-1
315913,408,377,-1
315913,408,1506,-1
315913,408,641,-1
315913,408,651,-1
315913,408,1436,-1
315913,408,633,-1
315913,408,797,-1
315944,697,726,-1
315944,697,1501,-1
315944,697,500,-1
315944,697,651,-1
315944,697,1436,-1
315944,697,641,-1
315944,697,302,-1
315944,697,1393,-1
315944,408,377,-1
315944,408,1506,-1
315944,408,641,-1
315944,408,651,-1
315944,408,1436,-1
315944,408,633,-1
315944,408,797,-1
315916,697,726,-1
315916,697,1501,-1
315916,697,500,-1
315916,697,651,-1
315916,697,1436,-1
315916,697,641,-1
315916,697,302,-1
315916,697,1393,-1
315916,408,377,-1
315916,408,1506,-1
315916,408,641,-1
315916,408,651,-1
315916,408,1436,-1
315916,408,633,-1
315916,408,797,-1
316013,697,726,-1
316013,697,1501,-1
316013,697,500,-1
316013,697,651,-1
316013,697,1436,-1
316013,697,641,-1
316013,697,302,-1
316013,697,1393,-1
316013,408,377,-1
316013,408,1506,-1
316013,408,641,-1
316013,408,651,-1
316013,408,1436,-1
316013,408,633,-1
316013,408,797,-1
326597,697,726,-1
326597,697,1501,-1
326597,697,500,-1
326597,697,651,-1
326597,697,1436,-1
326597,697,641,-1
326597,697,302,-1
326597,697,1393,-1
326597,408,377,-1
326597,408,1506,-1
326597,408,641,-1
326597,408,651,-1
326597,408,1436,-1
326597,408,633,-1
326597,408,797,-1
315739,408,377,-1
315739,408,1506,-1
315739,408,641,-1
315739,408,651,-1
315739,408,1436,-1
315739,408,633,-1
315739,408,797,-1
92150,408,377,-1
92150,408,1506,-1
92150,408,641,-1
92150,408,651,-1
92150,408,1436,-1
92150,408,633,-1
92150,408,797,-1
315654,408,377,-1
315654,408,1506,-1
315654,408,641,-1
315654,408,651,-1
315654,408,1436,-1
315654,408,633,-1
315654,408,797,-1
315683,408,377,-1
315683,408,1506,-1
315683,408,641,-1
315683,408,651,-1
315683,408,1436,-1
315683,408,633,-1
315683,408,797,-1
326480,408,377,-1
326480,408,1506,-1
326480,408,641,-1
326480,408,651,-1
326480,408,1436,-1
326480,408,633,-1
326480,408,797,-1
326492,408,377,-1
326492,408,1506,-1
326492,408,641,-1
326492,408,651,-1
326492,408,1436,-1
326492,408,633,-1
326492,408,797,-1
323352,408,377,-1
323352,408,1506,-1
323352,408,641,-1
323352,408,651,-1
323352,408,1436,-1
323352,408,633,-1
323352,408,797,-1
366751,669,784,-1
366751,669,630,-1
366751,669,1228,-1
366751,669,1225,-1
366751,669,1379,-1
366751,669,1621,-1
366751,669,137,-1
366768,669,784,-1
366768,669,630,-1
366768,669,1228,-1
366768,669,1225,-1
366768,669,1379,-1
366768,669,1621,-1
366768,669,137,-1
366769,669,784,-1
366769,669,630,-1
366769,669,1228,-1
366769,669,1225,-1
366769,669,1379,-1
366769,669,1621,-1
366769,669,137,-1
366778,669,784,-1
366778,669,630,-1
366778,669,1228,-1
366778,669,1225,-1
366778,669,1379,-1
366778,669,1621,-1
366778,669,137,-1
366779,669,784,-1
366779,669,630,-1
366779,669,1228,-1
366779,669,1225,-1
366779,669,1379,-1
366779,669,1621,-1
366779,669,137,-1
379046,669,784,-1
379046,669,630,-1
379046,669,1228,-1
379046,669,1225,-1
379046,669,1379,-1
379046,669,1621,-1
379046,669,137,-1
379065,669,784,-1
379065,669,630,-1
379065,669,1228,-1
379065,669,1225,-1
379065,669,1379,-1
379065,669,1621,-1
379065,669,137,-1
379062,669,784,-1
379062,669,630,-1
379062,669,1228,-1
379062,669,1225,-1
379062,669,1379,-1
379062,669,1621,-1
379062,669,137,-1
379060,669,784,-1
379060,669,630,-1
379060,669,1228,-1
379060,669,1225,-1
379060,669,1379,-1
379060,669,1621,-1
379060,669,137,-1
379058,669,784,-1
379058,669,630,-1
379058,669,1228,-1
379058,669,1225,-1
379058,669,1379,-1
379058,669,1621,-1
379058,669,137,-1
379055,669,784,-1
379055,669,630,-1
379055,669,1228,-1
379055,669,1225,-1
379055,669,1379,-1
379055,669,1621,-1
379055,669,137,-1
379054,669,784,-1
379054,669,630,-1
379054,669,1228,-1
379054,669,1225,-1
379054,669,1379,-1
379054,669,1621,-1
379054,669,137,-1
379053,669,784,-1
379053,669,630,-1
379053,669,1228,-1
379053,669,1225,-1
379053,669,1379,-1
379053,669,1621,-1
379053,669,137,-1
379052,669,784,-1
379052,669,630,-1
379052,669,1228,-1
379052,669,1225,-1
379052,669,1379,-1
379052,669,1621,-1
379052,669,137,-1
379886,669,784,-1
379886,669,630,-1
379886,669,1228,-1
379886,669,1225,-1
379886,669,1379,-1
379886,669,1621,-1
379886,669,137,-1
379890,669,784,-1
379890,669,630,-1
379890,669,1228,-1
379890,669,1225,-1
379890,669,1379,-1
379890,669,1621,-1
379890,669,137,-1
379889,669,784,-1
379889,669,630,-1
379889,669,1228,-1
379889,669,1225,-1
379889,669,1379,-1
379889,669,1621,-1
379889,669,137,-1
379888,669,784,-1
379888,669,630,-1
379888,669,1228,-1
379888,669,1225,-1
379888,669,1379,-1
379888,669,1621,-1
379888,669,137,-1
379887,669,784,-1
379887,669,630,-1
379887,669,1228,-1
379887,669,1225,-1
379887,669,1379,-1
379887,669,1621,-1
379887,669,137,-1
383692,669,784,-1
383692,669,630,-1
383692,669,1228,-1
383692,669,1225,-1
383692,669,1379,-1
383692,669,1621,-1
383692,669,137,-1
395071,669,784,-1
395071,669,630,-1
395071,669,1228,-1
395071,669,1225,-1
395071,669,1379,-1
395071,669,1621,-1
395071,669,137,-1
395079,669,784,-1
395079,669,630,-1
395079,669,1228,-1
395079,669,1225,-1
395079,669,1379,-1
395079,669,1621,-1
395079,669,137,-1
395074,669,784,-1
395074,669,630,-1
395074,669,1228,-1
395074,669,1225,-1
395074,669,1379,-1
395074,669,1621,-1
395074,669,137,-1
395072,669,784,-1
395072,669,630,-1
395072,669,1228,-1
