,comp_id,top3
0,97,"[97, 312495, 2507043, 2511460]"
1,115,"[115, 835256]"
2,146,"[146, 210, 1795, 506559]"
3,147,"[147, 48536]"
4,148,[148]
5,173,"[173, 66507, 300058, 314587]"
6,194,"[194, 2505391]"
7,205,"[205, 237, 11474, 58326]"
8,207,"[207, 1826432]"
9,210,"[146, 210, 11474, 506559]"
10,237,"[205, 237, 11474]"
11,241,"[241, 15521, 210388, 561381]"
12,246,"[241, 246, 11474, 210388]"
13,250,"[250, 19081]"
14,273,[273]
15,322,"[322, 9837, 14300]"
16,401,[401]
17,418,"[418, 605625]"
18,442,"[442, 2214, 9988, 386903]"
19,561,"[561, 567, 646, 6968]"
20,567,"[561, 567, 646, 6968]"
21,573,"[573, 27610, 2535540]"
22,594,"[594, 27287, 82982, 82983]"
23,605,"[605, 996, 6243, 1378774]"
24,619,"[619, 1029534]"
25,635,[635]
26,646,"[561, 567, 646, 6968]"
27,666,"[666, 1529]"
28,669,"[669, 34438]"
29,695,"[695, 702]"
30,696,[696]
31,702,"[695, 702]"
32,717,"[717, 1789285, 2095611, 2095620]"
33,721,"[721, 11763, 95909, 95970]"
34,789,"[789, 1354, 43354, 642253]"
35,822,"[822, 13756, 255488, 642273]"
36,853,"[853, 2208, 13928, 374098]"
37,860,"[860, 117020]"
38,880,[880]
39,921,[921]
40,923,"[923, 2489348, 2489463, 2490061]"
41,941,[941]
42,969,[969]
43,996,"[605, 996, 6216, 1378774]"
44,1009,[1009]
45,1022,[1022]
46,1063,"[1063, 233854]"
47,1085,[1085]
48,1096,[1096]
49,1114,"[1114, 78759, 462435, 2341631]"
50,1124,[1124]
51,1125,[1125]
52,1148,[1148]
53,1159,"[1159, 16688, 126356, 990772]"
54,1166,"[1166, 18113, 150313, 2530315]"
55,1202,"[1202, 453408]"
56,1209,"[1209, 698632, 2494906, 2499985]"
57,1216,"[1216, 23115, 42532, 87237]"
58,1219,"[1219, 78582]"
59,1223,[1223]
60,1256,[1256]
61,1278,[1278]
62,1279,"[1279, 43354, 242993, 642253]"
63,1280,"[1280, 255532, 271022, 1377174]"
64,1324,"[1324, 1365]"
65,1325,"[1325, 36842, 1078530, 1383222]"
66,1333,"[1333, 27616, 389011]"
67,1354,"[789, 1354, 27417, 43354]"
68,1362,"[1362, 35358, 139133, 255532]"
69,1365,"[1324, 1365, 422949]"
70,1369,"[1369, 33202, 391501]"
71,1370,"[1370, 10099, 255488, 454176]"
72,1380,"[1279, 1380, 242993, 642253]"
73,1413,"[1413, 35857, 35872, 374019]"
74,1529,"[666, 1529]"
75,1551,"[1551, 2110, 2168, 231420]"
76,1564,"[1564, 17853, 47209, 390246]"
77,1615,"[1615, 218758, 305519, 1037639]"
78,1616,[1616]
79,1620,[1620]
80,1712,"[1712, 1788, 16278, 706091]"
81,1763,"[1763, 126645, 577368, 2499604]"
82,1785,"[1785, 37260]"
83,1788,"[1712, 1788, 706091, 2507539]"
84,1795,"[146, 210, 1795, 506559]"
85,1797,"[1797, 1907, 1908, 2015]"
86,1798,"[1798, 1836, 2015]"
87,1823,[1823]
88,1836,"[1798, 1836, 1907, 2015]"
