comp_id,top3,id_29,pref_name,smiles
30,"[11852, 1025, 41]",789,METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1
35,[],1022,ARECOLINE,COC(=O)C1=CCCN(C)C1
37,"[732, 1969, 12063]",1216,TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
43,"[253, 9820, 195]",1370,PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12
74,"[423, 16216, 16217]",2214,SEROTONIN,NCCc1c[nH]c2ccc(O)cc12
118,"[810, 12793, 27]",4149,8-OH-DPAT,CCCN(CCC)C1CCc2cccc(O)c2C1
120,"[120, 121, 7115]",4228,,CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O
123,"[8721, 10575, 31799]",4584,DOPAMINE,NCCc1ccc(O)c(O)c1
202,"[12762, 38351, 2640]",8667,STALLIMYCIN,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N
207,[],8788,HYDRALAZINE,NNc1nncc2ccccc12
312,[],11694,BENZYLAMINE,NCc1ccccc1
314,[],11818,PHOSPHORAMIDE MUSTARD,NP(=O)(O)N(CCCl)CCCl
416,"[39363, 24216, 6857]",16741,ACETOPHENONE,CC(=O)c1ccccc1
422,[],16820,BENZALDEHYDE,O=Cc1ccccc1
475,"[713, 39243, 478]",19101,TRIMETREXATE,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
508,[],20917,AMINOLEVULINIC ACID,NCC(=O)CCC(=O)O
545,[],22754,,Nc1ccccc1N(CCCl)CCCl
558,"[45923, 964, 728]",22956,TRIENTINE,NCCNCCNCCN
604,"[3089, 15499, 728]",23634,SPERMIDINE,NCCCCNCCCN
656,"[14417, 14418, 30488]",26732,ACECLIDINE,CC(=O)OC1CN2CCC1CC2
660,"[11852, 30, 41]",27417,BISOPROLOL,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
665,"[34188, 34187, 11363]",27647,AMANTADINE,NC12CC3CC(CC(C3)C1)C2
710,"[12716, 37318, 12696]",29689,,NCCCCNCc1ccccc1
728,"[604, 922, 2679]",30697,SPERMINE,NCCCNCCCCNCCCN
776,[],33679,FINASTERIDE,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
878,"[13344, 20734, 36628]",38898,RILUZOLE,Nc1nc2ccc(OC(F)(F)F)cc2s1
897,"[965, 2345, 2354]",39794,DIAMINOOCTANE,NCCCCCCCCN
921,"[964, 728, 3081]",40370,,NCCCNCCCOCCCNCCCN
932,"[968, 1641, 903]",40496,,CCCCCCCCCCCCCCCCCCSCC(C[N+](C)(C)CCCO)OC
1025,"[30, 11852, 5241]",43354,ESMOLOL,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
1039,"[2952, 2983, 2953]",44380,,CCNCCCNCCCNCCCNCC1CCCCCC1
1040,"[2953, 2984, 2955]",44403,,CCNCCCNCCCNCCCNCC1CC1
1178,"[3084, 604, 1185]",51280,,NCCCCNCCCCN
1233,[],54149,PYRIDOSTIGMINE BROMIDE,CN(C)C(=O)Oc1ccc[n+](C)c1
1341,"[17217, 23232, 7501]",58089,,NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
1407,"[1039, 2952, 2983]",61705,,CCNCCCNCCCCCCCNCCCNCC1CCCCCC1
1472,[],68392,,COc1ccc2c3ccnc(C)c3n(C)c2c1
1499,"[897, 965, 2345]",71335,PUTRESCINE,NCCCCN
1853,[],86181,,CO[C@H]1CC=C2CCN3CCC4=C(CC(=O)OC4)[C@]23C1
1881,[],88248,PROFLAVINE,Nc1ccc2cc3ccc(N)cc3nc2c1
2019,"[2015, 2371, 2021]",92781,,CCOc1ccc2[nH]c3c(C)c4cc[n+](C)cc4c(C)c3c2c1
2046,[],93843,CYSTAMINE,NCCSSCCN
2049,"[39268, 2045, 2047]",93858,RIMANTADINE,CC(N)C12CC3CC(CC(C3)C1)C2
2265,[],103029,TALABOSTAT,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O
2328,"[1452, 34508, 2313]",105073,,Clc1ccc2c(NCCNc3ccnc4cc(Cl)ccc34)ccnc2c1
2347,"[3736, 3525, 3527]",107931,CETRIMONIUM BROMIDE,CCCCCCCCCCCCCCCC[N+](C)(C)C
2477,"[2635, 2645, 2646]",115064,NETROPSIN,Cn1cc(NC(=O)c2cc(NC(=O)CNC(=N)N)cn2C)cc1C(=O)NCCC(=N)N
2650,[],124921,PENTACHLOROPHENOL,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
2653,[],125091,PHENYLISOTHIOCYANATE,S=C=Nc1ccccc1
2786,"[32229, 31578, 31593]",130007,OXYQUINOLINE,Oc1cccc2cccnc12
3180,"[14497, 4708, 14479]",151451,,Clc1cccc(Nc2ncnc3ccccc23)c1
3214,"[2969, 3231, 3222]",155055,,COc1cc(CNc2ccc(SC)cc2)cc(OC)c1OC
3225,"[2969, 3222, 3231]",155520,,CCOc1ccc(NCc2cc(OC)c(OC)c(OC)c2)cc1
3527,"[3527, 4080, 2347]",171100,HEXAMETHONIUM CHLORIDE,C[N+](C)(C)CCCCCC[N+](C)(C)C
3736,"[3736, 3525, 3527]",182325,CETRIMIDE,CCCCCCCCCCCCCC[N+](C)(C)C
3758,[],184194,,COc1cc2[nH]c3c(C)nccc3c2cc1Br
4098,"[4098, 9479, 10579]",197722,,OCC1NC(CO)C(O)C1O
4336,"[47136, 21349, 22776]",205287,,CCN1CCCN(CC)CCN(Cc2ccc(CN3CCCN(CC)CCN(CC)CCCN(CC)CC3)cc2)CCCN(CC)CC1
5427,[],266673,ANISALDEHYDE,COc1ccc(C=O)cc1
6578,"[6581, 13171, 13172]",322599,,NCCCNCCCN1CCCCCCCCCCCCCC1
6581,"[6578, 13171, 13172]",322626,,NCCCCNCCCCN1CCCCCCCCCCCCCC1
7229,"[1498, 3729, 3731]",349586,,NCCCCN(CCCN)Cc1ccccc1
7451,"[5763, 7447, 5762]",361480,,COc1ccc(Cl)c(Nc2ncnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1
7489,[],364693,MERCAPTOPURINE,Sc1ncnc2nc[nH]c12
7499,"[7499, 15453, 6201]",365281,DEXAMETHASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
7614,"[36974, 36356, 36975]",368083,BENZETHONIUM CHLORIDE,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1
7621,"[21553, 22989, 7723]",368484,,Oc1ccc(CCl)c2cccnc12
7753,[],374669,,Nc1ccc(CC2CCc3cc(O)ccc3C2=O)cc1
7920,"[8556, 7919, 45994]",379075,"2,6-DIAMINOPURINE",Nc1nc(N)c2nc[nH]c2n1
8179,"[9672, 9679, 9680]",387891,,NC[C@@H]1C[C@@H]1C(=O)O
8382,"[37743, 31478, 8383]",397731,CARBOCYSTEINE,N[C@@H](CSCC(=O)O)C(=O)O
8428,"[35046, 21647, 10217]",400284,,NCc1ccc2ccc3cccc4ccc1c2c34
8429,"[2662, 9130, 12665]",400291,,NCCCCNCc1ccc2ccc3cccc4ccc1c2c34
8935,"[37834, 37649, 46220]",420212,ARTENIMOL,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4
9045,"[9045, 3601, 30353]",425372,TILARGININE,CNC(=N)NCCC[C@H](N)C(=O)O
9075,"[19817, 9073, 4430]",426778,,COc1ccc2nc(NS(=O)(=O)c3ccccc3)sc2c1
